iso_639_3,fileName,Language,Stock,Stock_coarse,Region,Region_coarse,L1_speakers,L2_speakers,RatioL2,PercL2,LDT,LDTinv,LDTscaled,measure,text,genus_wals,family_wals
por,udhr_por_PT.csv,Portuguese ,Indo-European,Indo-European,Europe,Europe,182670000,17500000,0.095801172,0.0874,0.341847826,0.341847826,-0.217360371,TTR,UDHR,Romance,Indo-European
gax,udhr_gax.csv,"Oromo,All",Cushitic,Other,S Africa,S Africa,20600000,2000000,0.097087379,0.0885,0.839705238,0.160294762,0.337739276,a,UDHR,Eastern Cushitic,Afro-Asiatic
gax,udhr_gax.csv,"Oromo,All",Cushitic,Other,S Africa,S Africa,20600000,2000000,0.097087379,0.0885,8.140546849,8.140546849,0.413609399,H,UDHR,Eastern Cushitic,Afro-Asiatic
gax,udhr_gax.csv,"Oromo,All",Cushitic,Other,S Africa,S Africa,20600000,2000000,0.097087379,0.0885,0.409153953,0.409153953,0.299806814,TTR,UDHR,Eastern Cushitic,Afro-Asiatic
lua,udhr_lua.csv,Luba-Kasai,Benue-Congo,Benue-Congo,S Africa,S Africa,7050000,700000,0.09929078,0.0903,0.946951256,0.053048745,-0.172620316,a,UDHR,Bantoid,Niger-Congo
lua,udhr_lua.csv,Luba-Kasai,Benue-Congo,Benue-Congo,S Africa,S Africa,7050000,700000,0.09929078,0.0903,7.623092339,7.623092339,-0.378491126,H,UDHR,Bantoid,Niger-Congo
lua,udhr_lua.csv,Luba-Kasai,Benue-Congo,Benue-Congo,S Africa,S Africa,7050000,700000,0.09929078,0.0903,0.307525717,0.307525717,-0.481084778,TTR,UDHR,Bantoid,Niger-Congo
yor,zipf_stats_yor-x-bible-yorub-v1.txt,yorub,Niger-Congo,Other,African Savannah  ,African Savannah  ,19380800,2000000,0.103194915,0.093541869,1.578210411,-0.578210411,-1.09133333,a,PBC,Defoid,Niger-Congo
yor,zipf_stats_yor-x-bible-yorub-v1.txt,yorub,Niger-Congo,Other,African Savannah  ,African Savannah  ,19380800,2000000,0.103194915,0.093541869,6.442346186,6.442346186,-1.311146228,H,PBC,Defoid,Niger-Congo
yor,zipf_stats_yor-x-bible-yorub-v1.txt,yorub,Niger-Congo,Other,African Savannah  ,African Savannah  ,19380800,2000000,0.103194915,0.093541869,0.035753411,0.035753411,-0.99214771,TTR,PBC,Defoid,Niger-Congo
yor,udhr_yor.csv,Yoruba,Niger-Congo,Other,African Savannah  ,African Savannah  ,19380800,2000000,0.103194915,0.0935,1.387555306,-0.387555306,-2.269355546,a,UDHR,Defoid,Niger-Congo
yor,udhr_yor.csv,Yoruba,Niger-Congo,Other,African Savannah  ,African Savannah  ,19380800,2000000,0.103194915,0.0935,7.605160485,7.605160485,-0.405940556,H,UDHR,Defoid,Niger-Congo
yor,udhr_yor.csv,Yoruba,Niger-Congo,Other,African Savannah  ,African Savannah  ,19380800,2000000,0.103194915,0.0935,0.21361598,0.21361598,-1.202668931,TTR,UDHR,Defoid,Niger-Congo
aka,udhr_aka_asante.csv,"Akan (Twi Asante, Twi Fante)",Kwa,Other,African Savannah  ,African Savannah  ,8300000,1000000,0.120481928,0.108,1.066061619,-0.066061619,-0.739439653,a,UDHR,Kwa,Niger-Congo
aka,udhr_aka_asante.csv,"Akan (Twi Asante, Twi Fante)",Kwa,Other,African Savannah  ,African Savannah  ,8300000,1000000,0.120481928,0.108,7.448510861,7.448510861,-0.645734097,H,UDHR,Kwa,Niger-Congo
aka,udhr_aka_asante.csv,"Akan (Twi Asante, Twi Fante)",Kwa,Other,African Savannah  ,African Savannah  ,8300000,1000000,0.120481928,0.108,0.273689783,0.273689783,-0.741073517,TTR,UDHR,Kwa,Niger-Congo
tam,udhr_tam.csv,Tamil,Dravidian,Other,Indic,Indic,66837600,8500000,0.127173926,0.113,0.492159634,0.507840366,1.99163036,a,UDHR,Southern Dravidian,Dravidian
tam,udhr_tam.csv,Tamil,Dravidian,Other,Indic,Indic,66837600,8500000,0.127173926,0.113,9.393472494,9.393472494,2.331542362,H,UDHR,Southern Dravidian,Dravidian
tam,udhr_tam.csv,Tamil,Dravidian,Other,Indic,Indic,66837600,8500000,0.127173926,0.113,0.69609375,0.69609375,2.504596403,TTR,UDHR,Southern Dravidian,Dravidian
cko,zipf_stats_cko-x-bible-anufo-v1.txt,anufo,Kwa,Other,African Savannah  ,African Savannah  ,137600,18000,0.130813953,0.115681234,1.60161556,-0.60161556,-1.177657385,a,PBC,Kwa,Niger-Congo
cko,zipf_stats_cko-x-bible-anufo-v1.txt,anufo,Kwa,Other,African Savannah  ,African Savannah  ,137600,18000,0.130813953,0.115681234,6.457306525,6.457306525,-1.298439609,H,PBC,Kwa,Niger-Congo
cko,zipf_stats_cko-x-bible-anufo-v1.txt,anufo,Kwa,Other,African Savannah  ,African Savannah  ,137600,18000,0.130813953,0.115681234,0.02656913,0.02656913,-1.124376009,TTR,PBC,Kwa,Niger-Congo
knc,udhr_knc.csv,Kanuri ,Saharan,Other,African Savannah  ,African Savannah  ,3820250,500000,0.130881487,0.116,0.721232327,0.278767674,0.901525121,a,UDHR,Western Saharan,Nilo-Saharan
knc,udhr_knc.csv,Kanuri ,Saharan,Other,African Savannah  ,African Savannah  ,3820250,500000,0.130881487,0.116,8.643307452,8.643307452,1.183217027,H,UDHR,Western Saharan,Nilo-Saharan
knc,udhr_knc.csv,Kanuri ,Saharan,Other,African Savannah  ,African Savannah  ,3820250,500000,0.130881487,0.116,0.535211268,0.535211268,1.268406702,TTR,UDHR,Western Saharan,Nilo-Saharan
ltz,udhr_ltz.csv,Luxembourgish ,Indo-European,Indo-European,Europe,Europe,355415,50000,0.140680613,0.123,0.913422691,0.086577309,-0.013065446,a,UDHR,Germanic,Indo-European
ltz,udhr_ltz.csv,Luxembourgish ,Indo-European,Indo-European,Europe,Europe,355415,50000,0.140680613,0.123,8.136686908,8.136686908,0.407700742,H,UDHR,Germanic,Indo-European
ltz,udhr_ltz.csv,Luxembourgish ,Indo-European,Indo-European,Europe,Europe,355415,50000,0.140680613,0.123,0.362683438,0.362683438,-0.057263581,TTR,UDHR,Germanic,Indo-European
bug,udhr_bug.csv,Buginese ,Austronesian,Austronesian,Oceania,Oceania,3500000,500000,0.142857143,0.125,0.939146186,0.060853814,-0.13547775,a,UDHR,Sulawesi,Austronesian
bug,udhr_bug.csv,Buginese ,Austronesian,Austronesian,Oceania,Oceania,3500000,500000,0.142857143,0.125,7.835411831,7.835411831,-0.053480177,H,UDHR,Sulawesi,Austronesian
bug,udhr_bug.csv,Buginese ,Austronesian,Austronesian,Oceania,Oceania,3500000,500000,0.142857143,0.125,0.361391695,0.361391695,-0.067189087,TTR,UDHR,Sulawesi,Austronesian
sna,udhr_sna.csv,Shona ,Benue-Congo,Benue-Congo,S Africa,S Africa,12379600,1800000,0.145400498,0.127,0.704409711,0.29559029,0.981580153,a,UDHR,Bantoid,Niger-Congo
